category,filename
etc,2201-1 LPG시설 검사업무 처리지침_전문_20231218 (1).pdf
etc,~2004년.pdf
etc,"21. 검사지원처-3327호(16.9.21., LPG사용시설 검사업무 착안사항 알림)_붙임.pdf"
etc,1-답변.pdf
etc,"27. 검사지원처-7361호(18.12.27., 휴·폐업 가스시설 정기검사 처리 착안사항 알림)_붙임.pdf"
etc,"24. 검사지원처-6232호(18.10.10., LP가스 특정사용시설 검사 후 결재상신 시 첨부서류 안내)_붙임.pdf"
etc,"17. 기술지도처-940호(08.3.12., 소형저장탱크용 고압호스(금속플렉시블호스) 적용 검사 처리기준 알림)_공문.pdf"
etc,"19. 검사지원처-2116호(14.7.2., LPG 허가·사용시설 검사업무 착안사항 알림)_붙임.pdf"
etc,"30. 검사지원처-2108호(20.6.17., 액법 시행규칙 개정에 따른 LPG사용시설 검사업무 착안사항 알림(소형저장탱크 이격거리))_붙임.pdf"
etc,2005~2011년.pdf
etc,2012~2016년.pdf
etc,"20. 검사지원처-3628호(15.12.2., 연소기에 부착된 과열차단장치 시설검사 착안사항 알림)_붙임.pdf"
etc,"25. 검사지원처-6246호(18.10.10., 소형저장탱크에 의한 LP가스 사용시설 검사업무 착안사항 알림)_붙임.pdf"
etc,해외수입 캠핑카 완성검사 방법 착안사항(23.12.7).pdf
volume_trade,체적거래제 관련정보.pdf
volume_trade,체적거래제 관련정보.txt
law,GC202_231005.pdf
law,GC209_230306.pdf
law,액화석유가스의 안전관리 및 사업법 시행규칙(산업통상자원부령)(제00533호)(20231212).pdf
law,FU432_231107.pdf
law,GC102_220830.pdf
law,고압가스 안전관리법(법률)(제18269호)(20211216).pdf
law,GC208_230306.pdf
law,FU433_231107.pdf
law,액화석유가스의 안전관리 및 사업법(법률)(제18818호)(20220203).pdf
law,GC205_220517.pdf
law,액화석유가스의 안전관리 및 사업법 시행령(대통령령)(제34258호)(20240227).pdf
law,FU431_231107.pdf
law,[별표 14] 품질검사 및 자체검사의 방법ㆍ절차 등(제38조제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,"[별표 20의2] 액화석유가스배관의 안전조치 및 손상방지기준(제72조의5, 제72조의8제1항제6호, 제72조의12제2항 및 제72조의13제1항제4호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp"
law,[별표 8] 행정처분기준(제20조 및 제30조 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 3] 판매가격 공개 대상별 액화석유가스의 종류와 공개내용 등(제31조제4항 관련)(액화석유가스의 안전관리 및 사업법 시행령).hwp
law,[별표 15] 가스공급자의 안전점검기준 등(제42조제5항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,이동용 음식판매 화물자동차 내 액화석유가스 사용시설에 대한 특례기준(산업통상자원부고시)(제2024-61호)(20240403).hwp
law,[별표 15의2] 공사계획의 승인대상(제49조의2제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 9] 과징금의 부과기준 및 산정기준(제21조제1항제1호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 18] 가스용품의 합격표시(제61조 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,"[별표 20] 액화석유가스 사용시설의 시설ㆍ기술ㆍ검사기준(제49조의6제2호, 제69조, 제71조제10항 및 제71조의2제2항제3호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp"
law,[별표 24] 허가 등의 수수료(제77조제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 4] 과태료의 부과기준(제34조 관련)(액화석유가스의 안전관리 및 사업법 시행령).hwp
law,[별표 10] 과징금의 부과기준 및 산정기준(제21조제1항제2호 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 3] 허가대상 가스용품의 범위(제4조제4항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 17] 용기의 안전점검기준(제47조 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
law,[별표 21] 보고사항 및 보고기한 등(제73조제1항 관련)(액화석유가스의 안전관리 및 사업법 시행규칙).hwp
