제목,질문,답변
액화석유가스법에 대해서 문의드립니다.,"액화석유가스법에 대해서 문의드립니다. 질의내용 안녕하세요 액화석유가스법에 대해서 문의드립니다. 공급자의 귀책사유로 가스안전공급계약 해지를 요청하고 협의가 이루어지지 않아서 소비 시설물에 대해서는 정산를 하였고, 공급설비( 계량기,  절체기,  소형탱크) 에 대해서 철거 요청을 하였으나 공급설비에 대해서 철거 및 회수를 하지않는 공급자는 법적으로 문제가 되는지 알려주셨으면 합니다. 바쁘신와중에 문의드려 죄송합니다. 잘 부탁드리겠습니다. 감사합니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 사용자가 공급자의 귀책사유로 공급자에게 소형저장탱크 사용시설의 공급설비 철거를 요청 하였으나 이에 응하지 않은 경우 해당 공급자에 대한 벌칙 규정이 있는지? <답변내용> ㅇ 「액화석유가스의 안전관리 및 사업법( 이하 “ 액법” 이라 한다) 」제33조제2항에서 가스공급 자와 사전 협의 없이는 누구든지 가스공급자 소유의 설비를 임의로 철거하거나 변경하여서는 아니 된다고 규정하고 있으며, -  액법 제33조제3항제2호에서 가스공급자는 수요자가 제2항에 따른 협의가 이루어지지 아니하 여 시설 철거를 요청한 경우 정당한 사유가 없으면 2일 이내에 그 요청에 따라야 한다고 규정 하고 있습니다. ㅇ 또한,  액법 제73조제4항제4호에서는 액법 제33조제2항에 따른 협의 없이 임의로 가스시설을 철거하거나 변경한 자에게는 200만원 이하의 과태료를 부과하도록 규정하고 있으며, -  액법 제71조제6호에서는 액법 제33조제3항을 위반하여 정당한 사유 없이 시설의 개선 또는 철거를 하지 아니한 가스공급자는 300만원 이하의 벌금에 처한다고 규정하고 있음을 알려드립 니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
이동식 용접장치 질의 사항,이동식 용접장치 질의 사항 질의내용 질의 내용 본 회사는 1. 5kg의 LPG 가스통을 연결한 이동식 용접장치를 사용하고 있습니다. 1.  액화석유가스 사용시설법에 의하여 내용적이 20L이상의 충전용기를 사용한 후에는 용기 보관실에 보관 할 것 이라고 표기되어있습니다.  20L 미만의 충전용기를 사용 할 경우 보관실에 보관해야 하는 법에 저촉 되지 않나요? 2.  고압가스 시행규칙에는 가연성 가스와 조연성 가스를 분리 보관하여야 한다고 명시되어 있습니다. 그렇다면 이동식 용접 장치의 경우 용접 특성상 가스봄베와 산소봄베를 결합하여 사용해야 하는데 액화석유가스의 내용적에 상관없이 분리 보관 해야 하나요?,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 저장능력이 1. 5㎏인 액화석유가스 용기로 이동식 용접장치를 사용하는 경우 -  질의 1.  20L 미만의 충전용기를 사용한 후에는 용기보관실에 보관해야 하는지? -  질의 2.  액화석유가스 용기의 내용적과 관계없이 산소 용기와 분리보관해야 하는지? <답변내용> <질의 1에 대하여> ㅇ 「액화석유가스의 안전관리 및 사업법( 이하 “ 액법” 이라 한다)  시행규칙」 별표 20 제1호 나목1) 나) 에서는 내용적 20L 이상의 충전용기를 옥외를 이동하면서 사용할 때에는 용기운반전 용 손수레에 단단하게 묶어 사용하여야 하고,  사용한 후에는 용기보관실에 보관하도록 규정하 고 있으므로,  질의하신 용기는 사용한 후 용기보관실에 보관하지 않을 수 있습니다. ㅇ 참고로,  액법 시행규칙 별표 20 제1호가목2) 다) 에서는 용기( 용기내장형 가스난방기용 용기 와 내용적 1L 이하의 이동식 부탄 연소기용 용기는 제외한다) 는 환기가 양호한 옥외에 두도록 규정하고 있으므로,  해당 용기를 사용한 후에는 환기가 양호한 옥외에 별도로 보관하여야 함을 알려드립니다. <질의 2에 대하여> ㅇ 「고압가스 안전관리법 시행규칙」별표 8 제1호나목1) 가) ②에서 가연성가스 독성가스 및 산소의 용기는 각각 구분하여 용기보관장소에 놓을 것을 규정하고 있다는 것을 고려하였을 때, -  가연성가스인 액화석유가스와 산소는 분리하여 보관하는 것이 안전관리상 바람직할 것으로 사료되며,  분리보관 하여야 하는 액화석유가스 용기의 내용적은 별도로 규정하고 있지 않음을 알려드립니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
소비설비 안전점검표에 대하여 문의드립니다.,"소비설비 안전점검표에 대하여 문의드립니다. 질의내용 안녕하세요. 액화석유가스 시행규칙 중 별지 제 27호 서식인 소비설비 안전점검표에대하여 문의드립니다. 첨부한 별지 서식의 하단에 보면 소비자의 인적사항과 서명 또는 날인이 들어가는 양식으로 되어있습니다. 이 점검표에 소비자의 서명이나 날인이 기재가 되어있지 않은 상황일 경우 이는 안전점검표로서의 효력이 있는지 문의드리고 싶습니다. 또한 인적사항은 있으나 서명이나 날인이 없는경우 한국가스안전공사 주관 정기검사에서 문제가 없는지 확인 부탁드리고 싶습니다. 또한 수기로 작성된 점검표 원본을 보관해야할 필요성이 있는지,  또한 보관해야할경우 보관기간은 얼마나 보관을 해야하는지 알려주시면 감사하겠습니다.","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 액법 시행규칙 별지 제27호서식에 따른 소비설비 안전점검표에 소비자의 서명 또는 날인이 작성되지 않은 경우 해당 서류가 동 점검표로서의 효력이 있는지? -  수기로 작성된 점검표 원본을 보관해야 할 필요성이 있는지? 보관하는 경우 보관기간은 얼 마나 되는지? <답변내용> ㅇ 「액화석유가스의 안전관리 및 사업법( 이하 “ 액법” 이라 한다)  시행규칙」 제42조제3항제2 호에 따라 용기가스소비자의 가스시설 안전점검을 실시하는 가스공급자는 액법 시행규칙 별지 제27호서식의 소비설비 안전점검표를 작성하여 2년간 보존해야 하며,  이 경우 컴퓨터 등 정보 처리능력을 가진 장치를 이용하여 작성 및 보존할 수 있습니다. ㅇ 또한,  액법 시행규칙 별지 제27호서식에서 규정하는 【소비설비 안전점검표】의 우측 하단 에는 소비자의 상호,  주소,  전화번호,  성명 그리고 서명 또는 날인을 작성하여야 합니다. ㅇ 소비설비 안전점검표는 가스공급자가 용기가스소비자의 가스시설에 대하여 시설현황( 연소기 현황 등) 을 점검하고 그 결과( 적합 여부) 를 토대로 용기가스소비자에게 개선필요사항을 통지 하는 등 액법 제30조에 따른 공급자의 의무를 이행하였음을 증명하는 법정 서식입니다. ㅇ 이에,  가스공급자는 안전점검 시 소비설비 안전점검표에 규정된 모든 공란을 작성하여야 하 며,  해당 점검표에 소비자의 서명 또는 날인이 작성되지 않은 경우 가스공급자가 해당 점검표 를 작성하였다고 볼 수 없을 것으로 사료됩니다.  끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
가스탱크 교채설치,가스탱크 교채설치 질의내용 기존2. 9톤탱크를 철거하고 새로운 2. 0톤이나 2. 9톤을 다시설치하려고 합니다.  근대 지금시설이 10년전철근배근없이 바닥패드만 처진 시설이라 교채를 하면 지금기준으로 철근넣고 다시검사를 해야한다고 하는데 그러면 종전보다 강화된 기준으로 적용하다보면 지금장소에 설치가 안됄수 있어 질문합니다. 유예기준이 있는지 . . . 지금과 같은 시설이 종종나오는데 새로운 기준을 적용하면 가스사용이 안됄수 있어 피해가 예상됩니다.  빠른 답변 부탁합니다.,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 기존에 설치되어 있던 소형저장탱크( 저장능력 2. 9톤) 를 철거하고 신규 소형저장탱크( 저장능 력 2. 0톤 또는 2. 9톤) 로 교체하려는 경우 당시 기준에 따라 설치되었던 일체형 콘크리트 기초 를 현행에 따라 일체형 철근콘크리트 기초로 변경하여야 하는지? <답변내용> ㅇ KGS FU432 2. 3. 3. 4( 3) 따라 소형저장탱크는 지면보다 0. 05m 이상 높게 설치된 일체형 콘크리 트 기초에 설치하여야 하며,  저장능력이 1톤 초과인 소형저장탱크는 일체형 철근콘크리트 기초 에 설치해야 합니다. -  다만,  같은 코드 1. 5. 15. 2에서는 2. 3. 3. 4( 3) 의 개정 규정은 승인일( 2015년 10월 2일) 로부터 6개월이 경과한 날 이후 설치되는 액화석유가스 사용시설부터 시행한다고 규정하고 있습니다. ㅇ 개정 전( 2015년 10월 2일 이전)  같은 코드 2. 3. 3. 4( 3) 에서는 “ 소형저장탱크는 그 기초가 지면보다 5㎝ 높게 설치된 콘크리트 등에 설치한다” 라고 규정하고 있었으므로, -  질의하신 시설이 승인일로부터 6개월이 경과하기 전( 2016년 4월 2일 이전) 에 설치된 경우에 는 소형저장탱크 교체 시 종전의 기준에 따라 설치된 일체형 콘크리트 기초를 사용하는 것이 가능할 것으로 사료됩니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
안전관리자 선임여부,"안전관리자 선임여부 질의내용 * 시설명 :  공동주택( 다세대주택) -  1단지 3개동 16세대 :  저장탱크 0. 99톤 1기 설치 2단지 1개동  9세대 :  저장탱크 0. 99톤 1기 설치 질문 :  동일 지번에 1단지,  2단지로 건축허가서 각각 받은 상태로 건축주도 동일인이며 저장탱크는 한 곳에  2기 설치하여 1단지,  2단지 각각 시공에정입니다. 이렇게 설치 할 경우 안전관리자를 선임 여부와 가스누출 경보장치를 설치해야하는지를  질문드립 니다.   ( 옥외가스배관평면도 첨부)","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 첨부와 같이 동일한 건축주가 각각 건축허가를 받은 2개 단지의 공동주택에 2개의 소형저장 탱크를 설치하여 각 단지로 액화석유가스를 공급하는 경우 -  1.  해당 시설에 안전관리자 선임를 선임하여야 하는지? -  2.  가스누출경보기를 설치하여야 하는지? <답변내용> <질의 1에 대하여> ㅇ 「액화석유가스의 안전관리 및 사업법( 이하 “ 액법” 이라 한다) 」 제34조제1항에 따라 액화 석유가스 특정사용자는 그 시설･용기･가스용품 등의 안전 확보와 위해 방지에 관한 직무를 수 행하게 하기 위하여 산업통상자원부령으로 정하는 바에 따라 액화석유가스를 사용하기 전에 안 전관리자를 선임하여야 하며, -  액법 시행규칙 별표 1 제7호에서는 저장능력이 1톤 초과인 소형저장탱크를 설치한 시설의 경우 안전관리책임자를 1명 이상 선임하도록 규정하고 있습니다. ㅇ 첨부하신 시설의 경우에는 동일한 액화석유가스 특정사용자가 동일한 장소에 소형저장탱크 2개를 설치하였다는 점을 고려한다면 그 저장능력을 합산하여 안전관리자를 선임하는 것이 적 절할 것으로 판단되나, -  안전관리자 선임 관련 업무는 행정관청의 소관이므로 이에 대한 최종 답변은 시설 구조,  관 리 방법,  분양 형태 등을 종합적으로 고려하여 행정관청에서 결정하여야 할 것으로 판단됩니 다. <질의 2에 대하여> ㅇ KGS FU432 2. 3. 3. 4( 15) 에서는 “ 부록 C3에 따라 소형저장탱크의 저장능력을 합산한 결과 저 장능력 합계가 1, 000㎏ 이상인 소형저장탱크 및 가스설비실에는 2. 8. 2에 따라 가스누출경보기 를 설치한다.  다만,  소형저장탱크의 저장능력 합계가 1, 000㎏ 미만의 옥외에 노출된 소형저장 탱크시설에는 가스누출경보기를 설치하지 않을 수 있다. ” 고 규정하고 있습니다. -  첨부 자료와 같이 설치된 두 소형저장탱크의 경우에는 상기 규정에 따라 저장능력 합계가 1, 000㎏ 이상이므로 가스누출경보기를 설치하여야 할 것으로 판단됩니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
"중고연소기 필증, 명판 지워져 보이지 않을경우 검사 가능여부","중고연소기 필증, 명판 지워져 보이지 않을경우 검사 가능여부 질의내용 중고연소기일경우 필증이나 명판 또는 둘다 지워져 식별이 불가능할경우 제조사는 확인가능할경우 검사가 가능한가요? 린나이 튀김기 처럼 기성품일경우 가능하다고 하는경우가 있고 안된다고 하는경우가 있는데 정확한 답변 좀 부탁드립니다.  여줘봐도 명확한 답변이 없네요. . .","우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 중고로 구입한 연소기의 필증 또는 명판이 지워져 식별이 불가능하나 제조사는 확인가능할 경우 완성검사가 가능한지? <답변내용> ㅇ 우리 공사에서 운용하는 「LPG시설 검사업무 처리지침」 제8- 38조제3항제4호에 따라 명판 기재내용이 불명확하거나 검사증명서( 또는 KS표시) 가 미부착 또는 훼손된 경우에도, -  기존에 검사를 받은 시설에서 사용하던 연소기라는 것을 검사원이 확인하거나,  가스공급자 의 점검을 받아 기존에 사용하던 연소기로 확인된 연소기는 완성검사 시 기준에 적합한 제품으 로 인정할 수 있음을 알려드립니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
시설 관련 문의드립니다,시설 관련 문의드립니다 질의내용 시골 주택가인데 l pg가스 배달하는 사람이 이사를 왔습니다 가스통을 실은 채 밤새 주차를 하고 있고 마당에 하우스를 지어서 가스통을 보관합니다 법적으로 문제가 없나요? 집들이 붙어있는 곳이라 가스누출이나 화재 위험때문에 걱정이 됩니다. 법적으로 제재가 가능한 사항이라면 신고방법을 알려주십시오,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 용기전용 운반자동차를 주택의 마당에 주차하고,  마당에 하우스를 지어 액화석유가스 용기 를 보관하는 것이 적법한지? 적법하지 않다면 신고 방법은 어떻게 되는지? <답변내용> ㅇ 「액화석유가스의 안전관리 및 사업법( 이하 “ 액법” 이라 한다) 」 제32조제1항 및 액법 시 행규칙 제12조제1항제3호에 따라 액화석유가스 판매사업자는 액화석유가스의 판매시설을 액법 시행규칙 별표 6에 따른 시설기준과 기술기준에 맞도록 유지하여야 하며, -  액법 시행규칙 별표 6 제1호나목1) 가) 에 따라 충전용기는 항상 40℃ 이하를 유지하여야 하 고,  수요자의 주문에 따라 운반중인 경우 외에는 충전용기와 잔가스용기를 구분하여 용기보관 실에 저장하여야 합니다. -  아울러,  액법 제68조제8호에서는 액법 제32조제1항을 위반한 자는 1년 이하의 징역 또는 1 천만원 이하의 벌금에 처하도록 규정하고 있습니다. -  참고로,  우리 공사에서는 가스안전 관련 불법행위의 근절의 위해 재난안전처 기동단속팀을 운영 중에 있어,  위법 행위의 적발 및 실질적인 처분 등에 대해서는 기동단속팀( 043- 750- 1347) 으로 문의하시기 바랍니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
노점상 LPG용기 사용 문의,노점상 LPG용기 사용 문의 질의내용 안녕하세요 노점상에서 LPG 용기 사용 관련 문의 드립니다. 1.  노점상에서 LPG 용기를 이용해 가스를 사용한다면 신고해야하는 규정이 있는지요? 2.  노점상에서 LPG용기 사용시에 지켜야할 안전수칙이 있는지 궁금합니다. 감사합니다.,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 노점상에서 LPG용기 사용 시 신고 의무 규정과 준수할 안전수칙이 있는지? <답변내용> ㅇ 「액화석유가스의 안전관리 및 사업법」( 이하 “ 액법” 이라 한다)  제70조제1항은 “ 액화석 유가스 특정사용자” 의 대상을 규정하고 있고,  동 규정에 따라 액화석유가스 특정사용자에 해 당할 경우 액법 제44조제3항에 따라 완성검사에 합격한 경우에만 액화석유가스 사용시설을 사 용할 수 있습니다. -  다만,  액법 시행규칙 제70조제2항에 해당하여 용기내장형 가스난방기용,  이동식 부탄연소기 용 또는 이동식 프로판 연소기용으로 액화석유가스를 사용하는 자와 이동하면서 액화석유가스 를 사용하는 자는 액화석유가스 특정사용자에서 제외됩니다. ㅇ 한편,  액법 제44조제1항은 “ 액화석유가스를 사용하려는 자는 액법 시행규칙 별표 20으로 정하는 시설기준과 기술기준에 맞도록 액화석유가스의 사용시설과 가스용품을 갖추어야 한다. ”  고 규정하고 있으므로,  용기를 이용하여 LPG를 사용하는 자는 모두 액법 시행규칙 별표 20 과 관련 상세기준인 KGS FU431( 용기에 의한 액화석유가스 사용시설의 시설 기술 검사 기준) 을 준수할 의무가 있음을 알려 드립니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  송근호 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1325 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
소형저장탱크 조정기 설치관련 질문,소형저장탱크 조정기 설치관련 질문 질의내용 1.  FU432 2. 4. 4. 1. 6 1단감압식 저압 준저압조정기는 소형저장탱크 사용시설에 설치하지 않는다. 왜 설치하면 안되는지? 안할건데 왜 못하게 하는지에 대한 의문 2.  소형저장탱크 조정기 설치 검사 방식에 대한 문의 현재 500KG 이하의 소탱 설치시 절체기 설치중인데 액유입등의 문제가 간혹 생김 그래서 화영에서 일체형조정기 11KG 가 나왓고 이에 대해 설치 고민중 대략 조정기자체는 14만원정도의 가격이 형성 소탱업체에서 설치되서 나오면 25만원정도의 가격이 형성 사실 설치자체는 시공업자에게 그리 어려운작업은 아님 주변 시공/공급업체가 절체기 문제로인해서 일체형조정기를 설치하고자 하여도 제품 자체의 금액이 절체기 6KG  3. 5만원 ( 사실 11KG까지 필요로 하는 시설이 많지 않음) 에 비해서 높은 편이지만 10만원이 넘는 설치비 자체가 너무 부담이라 선뜻 시공하기가 쉽지 않은 게 현실 10만원이 넘는 설치비는 사실 설치비자체가 아니라 시공후 내압시험?기밀시험 비용이라는게 업체 설명 그런데 기 설치되어 있는 소형저장탱크의 조정기 변경은 변경완성검사대상이 아닌것으로 알고 있음으로 사실 그냥 변경하여도 문제가 없음 업자가 비용절감과 법적문제를 피해가자면 절체기로 완성검사후 조정기로 변경하는 방법을 취할수 있음. 주변 가스관련업 하시는분들 말에 따르면 비슷한상황 알탱크구매후 조정기 설치나 조정기 변경등에 한해 검사원이 기밀시험등으로 넘어가는 경우도 있다곤하지만 편의상인것으로 확인되며 4. 2. 2. 3. 2 3- 3- 4- 2)  2. 5. 7. 1 단서에 따라 소형저장탱크를 성능인증을 받은 금속플렉시블호스로 연결하는 경우 소형저장탱크로부터 가장 가까운 압력조정기 출구측 첫 번째 배관용 밸브까지의 구간 금속플렉시블호스의 경우 단서조항으로 확실하게 기밀시험으로 대체가 가능한것으로 알고 있습니다. 향후 일체형 조정기에 한해서 예외조항에 추가할순 없을까요? 질문의 요약 1.  소탱에서 1단감압식 조정기를 설치하지 못하는 이유? 2.  소탱에서 조정기 설치시 하는 시험의 이름 ? ( 내압? 기밀? )  압력의 수치등 3.  500KG 이상에서 조정기설치시에 2번의 검사를 실시하지 않고 기밀시험등으로 대체가능한지? 4.   금속플렉시블호스설치에 대해 예외조항이 존재하는데 일체형조정기에 대해선 예외조항 신설 혹은 안전공사 자체의 방침이 가능한지? 가스안전공사의 안전을 위한 규제 및 규정에 존중을 하지만 너무 비용증가만 추구하는 식 혹은,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> 1.  소형저장탱크에 1단감압식 저압 준저압조정기를 설치하면 안되는 이유는? 2.  소형저장탱크에 압력조정기를 직결하는 경우 실시하는 시험의 이름과 압력의 수치는? 3.  저장능력이 500㎏ 이상인 소형저장탱크에 압력조정기 설치 시 질의 2번의 검사를 실시하지 않고 기밀시험으로 대체 가능한지? 4.  소형저장탱크용 금속플렉시블호스 설치에 대해 예외조항이 존재하는 데 일체형조정기를 설 치하는 경우에 대해선 예외조항 신설 혹은 공사 자체의 방침이 가능한지? <답변내용> <질의 1에 대하여> ㅇ KGS FU432 2. 4. 4. 1. 6에서는 1단감압식 저압 준저압조정기는 소형저장탱크 사용시설에 설치 하지 않는다고 규정하고 있습니다. -  이는,  1단감압식 조정기는 고압의 압력을 사용압력으로 한번( 1단) 에 떨어뜨리기 때문에 과 부하에 따른 성능의 안전성 및 내구성이 2단감압식보다 떨어집니다. -  2단감압식 조정기는 고압을 중간압( 1단) 으로 감압 후 저압( 2단) 으로 감압하는 2단계의 과정 을 거치기 때문에 1단 감압식 조정기보다 안전성 및 내구성 측면에서 안정적입니다. -  따라서,  과충전,  재액화 등에 의해 액이 유출될 가능성이 있는 소형저장탱크에는 1단 감압 식 조정기를 사용하지 못하도록 규정한 것입니다. <질의 2,  3에 대하여> ㅇ KGS FU432 4. 2. 2. 3. 2( 2) 의 단서에서는 「고압가스 안전관리법」 및 「액화석유가스의 안전 관리 및 사업법」에 따른 검사대상 제품에 해당하는 설비로서 검사에 합격한 제품은 내압시험 을 생략할 수 있고, -  LPG시설 검사업무처리지침 제8- 33조【내압기밀시험】제1항제2호에 따라 용기집합설비,  조 정기,  가스설비 및 가스기기 등에 연결되는 배관으로서 배관길이가 짧거나 배관의 구조상 가압 구 설치가 곤란할 경우 또는 내압시험을 실시함으로써 조정기 등 설비의 손상이 우려될 경우에 는 배관재료가 KGS FU431 2. 5. 1,  253 FU432 2. 5. 1,  253 FU433 2. 5. 1,  2. 5. 3( 배관설비재료,  두 께 및 강도) 의 기준에 적합한 경우에는 제2항의 규정에 의한 기밀시험으로 내압시험을 갈음할 수 있습니다. -  상기 규정에 따라,  소형저장탱크에 압력조정기가 직결되는 경우 소형저장탱크부터 압력조정 기 출구측 첫 번째 배관용 밸브까지는 상용압력 이상의 압력으로 기밀시험을 실시하여야 함을 알려드립니다. <질의 4에 대하여> ㅇ 본 건의 사항은 시설 안전성 및 시설 간 검사 형평성 및 실효성 등에 대하여 공사에서 다각 적으로 검토 중임을 알려드립니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
용기저장소 장기임대가능?,용기저장소 장기임대가능? 질의내용 기존 가스판매점 양도양수시 매도인이 매수인에게 판매점을 매매하면서 매수인에게 용기저장소를 20년간 장기임대를 하였다고하는데 법적으로 문제가없는지 궁금합니다. 토지는 임대가능하지만 건물도 임대가 가능한지?,"우리공사 홈페이지 질의응답 게시판을 이용하여 주신 고객님께 진심으로 감사 드리며 고객님의 질의에 대하여 아래와 같이 답변 드립니다. <질의요지> ㅇ 액화석유가스 판매사업소의 용기보관실 등 건축물을 임대하여 사업을 할 수 있는지? <답변내용> ㅇ 액화석유가스 판매사업소 경계내의 부지 및 건축물의 소유에 대해서는 「액화석유가스의 안 전관리 및 사업법( 이하 “ 액법” 이라 한다) 」상 명시적인 규정은 없으나,  사업자의 소유이거나 타인 소유의 부지 및 건축물은 법률상 지상권,  임대차,  사용임대 등을 통하여 사업소 부지 등 으로 사용될 수 있으면 될 것입니다. -  다만,  이에 대한 세부기준을 허가관청에서 별도로 정하여 운영할 수 있으므로 자세한 사항 은 허가관청에 문의하시기 바랍니다.   끝. 본 답변과 관련하여 추가 문의사항이 있으신 경우 아래로 연락주시면 성심 성의껏 답변 드리겠 습니다. <답변자 정보> * 답변자 :  강병성 / 소  속 :  LP가스기준부 /  연락처 :  043- 750- 1312 국민과 함께하는 글로 벌 가스안전 전문기업을 지향하는 우리 공사에 대해 변함 없는 관심과 지원을 부탁드리면서 항 상 건강하시고 원하시는 일들이 순조롭게 이루어지기를 기원합니다.  감사합니다."
